SlideNumber	FileName	Cy3	Cy5
256646710167	256646710167_532_635_30%_GE2_1200_Jun14_1_2.txt	S2866L	reference
256646710167	256646710167_532_635_30%_GE2_1200_Jun14_1_3.txt	S2866L	reference
256646710167	256646710167_532_635_30%_GE2_1200_Jun14_1_4.txt	S2866L	reference
256646710167	256646710167_532_635_30%_GE2_1200_Jun14_2_1.txt	S2866L	reference
256646710167	256646710167_532_635_30%_GE2_1200_Jun14_2_2.txt	S2866L	reference
256646710167	256646710167_532_635_30%_GE2_1200_Jun14_2_3.txt	S2866L	reference
256646710168	256646710168_532_635_30%_GE2_1200_Jun14_1_1.txt	WTL	reference
256646710168	256646710168_532_635_30%_GE2_1200_Jun14_1_2.txt	WTL	reference
256646710168	256646710168_532_635_30%_GE2_1200_Jun14_1_3.txt	WTL	reference
256646710168	256646710168_532_635_30%_GE2_1200_Jun14_2_1.txt	WTL	reference
256646710168	256646710168_532_635_30%_GE2_1200_Jun14_2_2.txt	WTL	reference
256646710168	256646710168_532_635_30%_GE2_1200_Jun14_2_3.txt	WTL	reference
256646710169	256646710169_532_635_30%_GE2_1200_Jun14_1_1.txt	S2866H	reference
256646710169	256646710169_532_635_30%_GE2_1200_Jun14_1_2.txt	S2866H	reference
256646710169	256646710169_532_635_30%_GE2_1200_Jun14_1_3.txt	S2866H	reference
256646710169	256646710169_532_635_30%_GE2_1200_Jun14_2_2.txt	S2866H	reference
256646710169	256646710169_532_635_30%_GE2_1200_Jun14_2_3.txt	S2866H	reference
256646710169	256646710169_532_635_30%_GE2_1200_Jun14_2_4.txt	S2866H	reference
256646710170	256646710170_532_635_30%_GE2_1200_Jun14_1_1.txt	WTH	reference
256646710170	256646710170_532_635_30%_GE2_1200_Jun14_1_2.txt	WTH	reference
256646710170	256646710170_532_635_30%_GE2_1200_Jun14_1_3.txt	WTH	reference
256646710170	256646710170_532_635_30%_GE2_1200_Jun14_2_2.txt	WTH	reference
256646710170	256646710170_532_635_30%_GE2_1200_Jun14_2_3.txt	WTH	reference
256646710170	256646710170_532_635_30%_GE2_1200_Jun14_2_4.txt	WTH	reference
