"","no rank","superkingdom","phylum","class","order","family","genus","species","subphylum","name_id"
"1","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium formicicum",NA,"Methanobacterium formicicum|2162"
"2","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium formicicum",NA,"Methanobacterium formicicum|2162"
"3","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium formicicum",NA,"Methanobacterium formicicum|2162"
"4","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter smithii",NA,"Methanobrevibacter smithii ATCC 35061|420247"
"5","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter smithii",NA,"Methanobrevibacter smithii|2173"
"6","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanohalophilus","Methanohalophilus mahii",NA,"Methanohalophilus mahii DSM 5219|547558"
"7","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanohalophilus","Methanohalophilus halophilus",NA,"Methanohalophilus halophilus|2177"
"8","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanothermaceae","Methanothermus","Methanothermus fervidus",NA,"Methanothermus fervidus DSM 2088|523846"
"9","cellular organisms","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanococcus","Methanococcus vannielii",NA,"Methanococcus vannielii SB|406327"
"10","cellular organisms","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanococcus","Methanococcus voltae",NA,"Methanococcus voltae A3|456320"
"11","cellular organisms","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanotorris","Methanotorris igneus",NA,"Methanotorris igneus Kol 5|880724"
"12","cellular organisms","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanocaldococcus","Methanocaldococcus jannaschii",NA,"Methanocaldococcus jannaschii DSM 2661|243232"
"13","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanoculleus","Methanoculleus marisnigri",NA,"Methanoculleus marisnigri JR1|368407"
"14","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanofollis","Methanofollis liminatans",NA,"Methanofollis liminatans DSM 4140|28892"
"15","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanospirillaceae","Methanospirillum","Methanospirillum hungatei",NA,"Methanospirillum hungatei JF-1|323259"
"16","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina barkeri",NA,"Methanosarcina barkeri str. Fusaro|269797"
"17","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina barkeri",NA,"Methanosarcina barkeri str. Wiesmoor|1434109"
"18","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina barkeri",NA,"Methanosarcina barkeri MS|1434108"
"19","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina barkeri",NA,"Methanosarcina barkeri 227|1434106"
"20","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina barkeri",NA,"Methanosarcina barkeri 3|1434107"
"21","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina barkeri",NA,"Methanosarcina barkeri CM1|796385"
"22","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina mazei",NA,"Methanosarcina mazei Go1|192952"
"23","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina mazei",NA,"Methanosarcina mazei Tuc01|1236903"
"24","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina mazei",NA,"Methanosarcina mazei WWM610|1434117"
"25","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina mazei",NA,"Methanosarcina mazei SarPi|1434115"
