Operon,Gene,Strand,CDS_start,CDS_end,Gene number,TS,PS,cPS,uPS,iPS,Pattern,,,,,,,,
1,"Ccel_0001,Ccel_0002,Ccel_0003,Ccel_0004",+,27,4073,4,4068551,2,2,0,0,Down,,,,,,,,
2,"Ccel_0005,Ccel_0006",+,4141,6370,2,,0,0,0,0,Up,,,,,,,,
3,"Ccel_0007,Ccel_0008,Ccel_0009,Ccel_0010",+,6639,9761,4,6570,0,0,0,0,Down,,,,,,,,
4,"Ccel_R0001,Ccel_R0002",+,9876,10098,2,9858,0,0,0,0,Down,,,,,,,,
5,Ccel_0011,-,10403,10942,1,11054,0,0,0,0,,,,,,,,,
6,"Ccel_0012,Ccel_0013,Ccel_0014",+,11177,12750,3,,0,0,0,0,Complex,,,,,,,,
7,Ccel_0015,+,12880,13071,1,,0,0,0,0,,,,,,,,,
8,Ccel_0016,+,13334,16885,1,13300,0,0,0,0,,,,,,,,,
9,Ccel_0017,+,17239,18222,1,,0,0,0,0,,,,,,,,,
10,Ccel_0018,-,18289,19959,1,,0,0,0,0,,,,,,,,,
11,Ccel_0019,+,20228,20431,1,,0,0,0,0,,,,,,,,,
12,Ccel_0020,+,20580,20846,1,20526,0,0,0,0,,,,,,,,,
13,Ccel_0021,+,21120,22688,1,,0,0,0,0,,,,,,,,,
14,"Ccel_0022,Ccel_0023",+,22884,24438,2,22869,0,0,0,0,Flat,,,,,,,,
15,Ccel_0024,+,24516,26117,1,24473,0,0,0,0,,,,,,,,,
16,"Ccel_0025,Ccel_0026,Ccel_0027,Ccel_0028,Ccel_0029,Ccel_0030,Ccel_0031,Ccel_0032,Ccel_0033",+,26265,36586,9,,0,0,0,0,Down,,,,,,,,
17,Ccel_0034,-,36592,37704,1,,0,0,0,0,,,,,,,,,
18,"Ccel_0035,Ccel_0036",+,37904,40006,2,,0,0,0,0,Up,,,,,,,,
19,"Ccel_0037,Ccel_0038,Ccel_0039",+,40169,42203,3,40123,0,0,0,0,Complex,,,,,,,,
20,Ccel_0040,+,42369,43385,1,42338,0,0,0,0,,,,,,,,,
21,"Ccel_0041,Ccel_0042",-,43420,45452,2,45490,0,0,0,0,Down,,,,,,,,
22,Ccel_0043,+,45662,46177,1,45607,0,0,0,0,,,,,,,,,
23,"Ccel_0044,Ccel_0045,Ccel_0046,Ccel_0047,Ccel_0048",-,46249,52121,5,,0,0,0,0,Complex,,,,,,,,
24,Ccel_0049,-,52670,54397,1,54560,0,0,0,0,,,,,,,,,
25,Ccel_R0003,-,54709,54785,1,,0,0,0,0,,,,,,,,,
26,Ccel_0050,+,55000,55911,1,,0,0,0,0,,,,,,,,,
27,"Ccel_0051,Ccel_0052",+,55929,60241,2,,0,0,0,0,Up,,,,,,,,
28,Ccel_0053,-,60279,62507,1,,0,0,0,0,,,,,,,,,
29,Ccel_0054,-,62580,63638,1,63761,0,0,0,0,,,,,,,,,
30,"Ccel_0055,Ccel_0056,Ccel_0057",+,63997,65303,3,63922,0,0,0,0,Up,,,,,,,,
31,Ccel_0058,-,65420,65758,1,,0,0,0,0,,,,,,,,,
32,Ccel_0059,+,66103,66315,1,,0,0,0,0,,,,,,,,,
33,"Ccel_0060,Ccel_0061",+,66526,67685,2,,0,0,0,0,Down,,,,,,,,
34,"Ccel_0062,Ccel_0063,Ccel_0064,Ccel_0065,Ccel_0066,Ccel_0067,Ccel_0068,Ccel_0069,Ccel_0070",+,68141,82196,9,,0,0,0,0,Complex,,,,,,,,
35,Ccel_0071,+,82681,84462,1,,0,0,0,0,,,,,,,,,
36,Ccel_0072,+,84739,87255,1,84586,0,0,0,0,,,,,,,,,
37,Ccel_0073,-,87609,88196,1,,0,0,0,0,,,,,,,,,
38,Ccel_0074,+,88905,89834,1,,0,0,0,0,,,,,,,,,
39,Ccel_0075,+,90250,90540,1,90100,0,0,0,0,,,,,,,,,
40,Ccel_0076,-,90746,91423,1,,0,0,0,0,,,,,,,,,
41,Ccel_0077,+,91604,91918,1,91553,0,0,0,0,,,,,,,,,
42,"Ccel_0078,Ccel_0079,Ccel_0080,Ccel_0081,Ccel_0082,Ccel_0083,Ccel_0084,Ccel_0085,Ccel_0086",+,92021,101784,9,91943,0,0,0,0,Complex,,,,,,,,
43,Ccel_0087,+,102061,103251,1,,0,0,0,0,,,,,,,,,
44,Ccel_0088,+,103403,103741,1,,0,0,0,0,,,,,,,,,
45,Ccel_0089,+,103985,106426,1,,0,0,0,0,,,,,,,,,
46,Ccel_0090,+,106584,107246,1,106560,0,0,0,0,,,,,,,,,
47,Ccel_0091,+,107296,107709,1,,0,0,0,0,,,,,,,,,
48,"Ccel_0092,Ccel_0093,Ccel_0094,Ccel_0095,Ccel_0096,Ccel_0097,Ccel_0098,Ccel_0099",+,107897,114834,8,107860,0,0,0,0,Complex,,,,,,,,
49,Ccel_0100,+,115020,115841,1,114903,0,0,0,0,,,,,,,,,
50,Ccel_0101,+,116068,116889,1,115953,0,0,0,0,,,,,,,,,
51,Ccel_0102,+,117174,118004,1,117073,0,0,0,0,,,,,,,,,
52,Ccel_0103,+,118101,119345,1,,0,0,0,0,,,,,,,,,
53,"Ccel_0104,Ccel_0105,Ccel_0106,Ccel_0107",+,119442,123180,4,119427,1,0,0,1,Complex,,,,,,,,
54,Ccel_0108,+,123349,124686,1,,0,0,0,0,,,,,,,,,
55,Ccel_0109,-,124785,125762,1,125841,0,0,0,0,,,,,,,,,
56,Ccel_0110,+,125938,126828,1,125876,0,0,0,0,,,,,,,,,
57,Ccel_0111,+,126931,128511,1,126889,0,0,0,0,,,,,,,,,
58,Ccel_0112,+,128517,129173,1,,0,0,0,0,,,,,,,,,
