assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material
GCA_000762265.1,PRJNA49593,SAMN03085433,,representative genome,2162,2162,Methanobacterium formicicum,strain=BRM9,,latest,Complete Genome,Major,Full,10/2/14,ASM76226v1,PGgRc,GCF_000762265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/762/265/GCA_000762265.1_ASM76226v1,,
GCA_000953115.1,PRJEB7090,SAMEA2724982,,na,2162,2162,Methanobacterium formicicum,,,latest,Complete Genome,Major,Full,9/10/14,DSM1535,CEBITEC,GCF_000953115.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/115/GCA_000953115.1_DSM1535,contaminated,
GCA_001458655.1,PRJEB7298,SAMEA2779801,,na,2162,2162,Methanobacterium formicicum,,Mb9,latest,Complete Genome,Major,Full,11/16/15,Mb9,CEBITEC,GCF_001458655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/458/655/GCA_001458655.1_Mb9,,
GCA_000016525.1,PRJNA18653,SAMN02604313,,representative genome,420247,2173,Methanobrevibacter smithii ATCC 35061,strain=ATCC 35061; PS; DSMZ 861,,latest,Complete Genome,Major,Full,6/4/07,ASM1652v1,Washington University Center for Genome Sciences,GCF_000016525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/525/GCA_000016525.1_ASM1652v1,,assembly from type material
GCA_002813085.1,PRJNA350240,SAMN05935551,,na,2173,2173,Methanobrevibacter smithii,strain=KB11,,latest,Complete Genome,Major,Full,12/6/17,ASM281308v1,KRIBB,GCF_002813085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/813/085/GCA_002813085.1_ASM281308v1,,
GCA_000025865.1,PRJNA30711,SAMN02598474,,representative genome,547558,2176,Methanohalophilus mahii DSM 5219,strain=DSM 5219,,latest,Complete Genome,Major,Full,3/31/10,ASM2586v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000025865.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/865/GCA_000025865.1_ASM2586v1,,assembly from type material
GCA_001889405.1,PRJNA342410,SAMN05756399,,representative genome,2177,2177,Methanohalophilus halophilus,strain=Z-7982,,latest,Complete Genome,Major,Full,12/6/16,ASM188940v1,UBO,GCF_001889405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/889/405/GCA_001889405.1_ASM188940v1,,assembly from type material
GCA_000166095.1,PRJNA33689,SAMN02232040,,representative genome,523846,2180,Methanothermus fervidus DSM 2088,strain=DSM 2088,,latest,Complete Genome,Major,Full,11/5/10,ASM16609v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000166095.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/095/GCA_000166095.1_ASM16609v1,,assembly from type material
GCA_000017165.1,PRJNA17889,SAMN02598403,,representative genome,406327,2187,Methanococcus vannielii SB,strain=SB,,latest,Complete Genome,Major,Full,6/29/07,ASM1716v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000017165.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/165/GCA_000017165.1_ASM1716v1,,assembly from type material
GCA_000006175.2,PRJNA20131,SAMN00000040,,representative genome,456320,2188,Methanococcus voltae A3,strain=A3,,latest,Complete Genome,Major,Full,6/3/10,ASM617v2,US DOE Joint Genome Institute (JGI-PGF),GCF_000006175.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/175/GCA_000006175.2_ASM617v2,,
