"Locus"	"start.x"	"end"	"strand"	"product_accession"	"Product"	"feature_interval_length"	"product_length"	"GO"	"GO_terms"	"Enzyme.Codes.list"	"Description"	"start.y"
"Ccel_0001"	27	1349	"+"	"ACL74389.1"	"chromosomal replication initiator protein DnaA"	1323	440	6	"F:DNA replication origin binding; F:ATP binding; P:DNA replication initiation; C:cytoplasm; C:replication compartment; P:regulation of DNA replication"	""	"chromosomal replication initiation"	27
"Ccel_0002"	1598	2698	"+"	"ACL74390.1"	"DNA polymerase III, beta subunit"	1101	366	8	"C:DNA polymerase III complex; F:DNA binding; F:3'-5' exonuclease activity; P:nucleic acid phosphodiester bond hydrolysis; F:DNA-directed DNA polymerase activity; C:cytoplasm; P:DNA replication; P:DNA biosynthetic process"	"EC:3.1; EC:2.7.7.7"	"DNA polymerase III subunit beta"	1598
"Ccel_0003"	2726	2941	"+"	"ACL74391.1"	"RNA-binding S4 domain protein"	216	71	1	"F:RNA binding"	""	"S4 domain"	2726
"Ccel_0004"	2955	4073	"+"	"ACL74392.1"	"DNA replication and repair protein RecF"	1119	372	6	"F:ATP binding; P:DNA repair; C:cytoplasm; P:DNA replication; P:SOS response; F:single-stranded DNA binding"	""	"DNA recombination ["	2955
"Ccel_0005"	4141	4410	"+"	"ACL74393.1"	"conserved hypothetical protein"	270	89	NA	NA	""	"DUF370 domain-containing"	4141
"Ccel_0006"	4442	6370	"+"	"ACL74394.1"	"DNA gyrase, B subunit"	1929	642	8	"F:magnesium ion binding; F:DNA binding; F:ATP binding; C:cytoplasm; P:DNA-dependent DNA replication; C:chromosome; F:DNA topoisomerase type II (ATP-hydrolyzing) activity; P:DNA topological change"	"EC:3.6.1; EC:3.6.1.3; EC:5.99.1; EC:5.99.1.3; EC:3.6.1.15"	"DNA gyrase subunit B"	4442
"Ccel_0007"	6639	7412	"+"	"ACL74395.1"	"Cobyrinic acid ac-diamide synthase"	774	257	3	"F:ATP binding; F:oxidoreductase activity; P:oxidation-reduction process"	""	"sporulation initiation inhibitor Soj"	6639
"Ccel_0008"	7418	8263	"+"	"ACL74396.1"	"parB-like partition protein"	846	281	1	"F:DNA binding"	""	"plasmid stablization"	7418
"Ccel_0009"	8426	8956	"+"	"ACL74397.1"	"conserved hypothetical protein"	531	176	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	8426
"Ccel_0010"	9000	9761	"+"	"ACL74398.1"	"TPR repeat-containing protein"	762	253	2	"F:protein binding; C:integral component of membrane"	""	"TPR repeat-containing [[Clostridium] cellulolyticum H10]"	9000
"Ccel_0011"	10403	10942	"-"	"ACL74399.1"	"CDP-diacylglycerol/serine O-phosphatidyltransferase"	540	179	7	"P:glycerolipid metabolic process; C:integral component of membrane; P:phospholipid biosynthetic process; P:L-serine metabolic process; F:CDP-diacylglycerol-serine O-phosphatidyltransferase activity; P:glycine metabolic process; P:threonine metabolic process"	"EC:2.7.8.8"	"CDP-diacylglycerol--serine O-phosphatidyltransferase"	10403
"Ccel_0012"	11177	11815	"+"	"ACL74400.1"	"HAD-superfamily hydrolase, subfamily IA, variant 1"	639	212	2	"F:inorganic diphosphatase activity; P:oxidative phosphorylation"	"EC:3.6.1.1; EC:3.6.1"	"HAD-superfamily subfamily variant 1"	11177
"Ccel_0013"	11880	12416	"+"	"ACL74401.1"	"conserved membrane protein"	537	178	1	"C:integral component of membrane"	""	"membrane [ [[Clostridium] clariflavum DSM 19732]"	11880
"Ccel_0014"	12496	12750	"+"	"ACL74402.1"	"hypothetical protein"	255	84	NA	NA	""	"MULTISPECIES: DUF2508 domain-containing"	12496
"Ccel_0015"	12880	13071	"+"	"ACL74403.1"	"sigmaK-factor processing regulatory BofA"	192	63	NA	NA	""	"---NA---"	12880
"Ccel_0016"	13334	16885	"+"	"ACL74404.1"	"pyruvate flavodoxin/ferredoxin oxidoreductase domain protein"	3552	1183	5	"F:thiamine pyrophosphate binding; F:iron ion binding; F:oxidoreductase activity, acting on the aldehyde or oxo group of donors; F:4 iron, 4 sulfur cluster binding; P:electron transport chain"	""	"pyruvate:ferredoxin (flavodoxin) oxidoreductase"	13334
"Ccel_0017"	17239	18222	"+"	"ACL74405.1"	"spore coat protein, CotS family"	984	327	1	"C:viral capsid"	""	"Spore coat S"	17239
"Ccel_0018"	18289	19959	"-"	"ACL74406.1"	"formate-tetrahydrofolate ligase FTHFS"	1671	556	5	"F:ATP binding; F:formate-tetrahydrofolate ligase activity; P:glyoxylate metabolic process; P:folic acid-containing compound biosynthetic process; P:tetrahydrofolate interconversion"	"EC:6.3.4.3"	"formate--tetrahydrofolate ligase"	18289
"Ccel_0019"	20228	20431	"+"	"ACL74407.1"	"hypothetical protein"	204	67	NA	NA	""	"sporulation peptidase"	20228
"Ccel_0020"	20580	20846	"+"	"ACL74408.1"	"protein of unknown function DUF1021"	267	88	1	"P:biofilm formation"	""	"Veg"	20580
"Ccel_0021"	21120	22688	"+"	"ACL74409.1"	"Peptidoglycan-binding LysM"	1569	522	NA	NA	""	"peptidoglycan-binding"	21120
"Ccel_0022"	22884	23735	"+"	"ACL74410.1"	"4-diphosphocytidyl-2C-methyl-D-erythritol kinase"	852	283	6	"F:ATP binding; P:isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway; F:4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity; P:phosphorylation; P:steroid biosynthetic process; P:terpenoid biosynthetic process"	"EC:2.7.1.148"	"4-(cytidine 5 -diphospho)-2-C-methyl-D-erythritol kinase"	22884
"Ccel_0023"	23752	24438	"+"	"ACL74411.1"	"transcriptional regulator, GntR family"	687	228	5	"C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding; P:regulation of transcription, DNA-templated"	""	"family transcriptional regulator"	23752
"Ccel_0024"	24516	26117	"+"	"ACL74412.1"	"AAA ATPase central domain protein"	1602	533	2	"P:cell division; F:ATP binding"	""	"ATPase AAA"	24516
"Ccel_0025"	26265	26996	"+"	"ACL74413.1"	"phage shock protein A, PspA"	732	243	NA	NA	""	"phage-shock ["	26265
"Ccel_0026"	27021	27515	"+"	"ACL74414.1"	"GCN5-related N-acetyltransferase"	495	164	2	"P:acyl-carrier-protein biosynthetic process; F:N-acetyltransferase activity"	"EC:2.3.1"	"GNAT family acetyltransferase"	27021
"Ccel_0027"	27546	28373	"+"	"ACL74415.1"	"conserved hypothetical protein"	828	275	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	27546
"Ccel_0028"	28447	30024	"+"	"ACL74416.1"	"protein of unknown function DUF342"	1578	525	2	"P:metabolic process; F:hydrolase activity"	""	"DUF342 domain-containing [Ruminiclostridium thermocellum]"	28447
"Ccel_0029"	30070	31995	"+"	"ACL74417.1"	"hypothetical protein"	1926	641	1	"F:protein binding"	""	"histidine kinase"	30070
"Ccel_0030"	32022	32426	"+"	"ACL74418.1"	"holo-acyl-carrier-protein synthase"	405	134	5	"F:magnesium ion binding; P:pantothenate biosynthetic process; C:cytoplasm; P:fatty acid biosynthetic process; F:holo-[acyl-carrier-protein] synthase activity"	"EC:2.7.8.7"	"holo-[acyl-carrier- ] synthase"	32022
"Ccel_0031"	32453	33592	"+"	"ACL74419.1"	"metallophosphoesterase"	1140	379	2	"P:nucleic acid phosphodiester bond hydrolysis; F:exonuclease activity"	"EC:3.1"	"metallophosphoesterase ["	32453
"Ccel_0032"	33613	35607	"+"	"ACL74420.1"	"chromosome segregation SMC"	1995	664	1	"C:integral component of membrane"	""	"chromosome segregation SMC"	33613
"Ccel_0033"	35660	36586	"+"	"ACL74421.1"	"NLP/P60 protein"	927	308	2	"P:metabolic process; F:hydrolase activity"	""	"NLP P60"	35660
"Ccel_0034"	36592	37704	"-"	"ACL74422.1"	"Monogalactosyldiacylglycerol synthase"	1113	370	2	"F:transferase activity, transferring hexosyl groups; P:glycolipid biosynthetic process"	""	"galactosyldiacylglycerol synthase"	36592
"Ccel_0035"	37904	38599	"+"	"ACL74423.1"	"spore cortex-lytic enzyme"	696	231	5	"P:spore germination; P:peptidoglycan catabolic process; C:membrane; P:peptidoglycan biosynthetic process; F:N-acetylmuramoyl-L-alanine amidase activity"	"EC:3.5.1.28"	"spore cortex-lytic enzyme"	37904
"Ccel_0036"	38615	40006	"+"	"ACL74424.1"	"germination protein YpeB"	1392	463	2	"P:spore germination; C:integral component of membrane"	""	"germination ["	38615
"Ccel_0037"	40169	40603	"+"	"ACL74425.1"	"transcriptional regulator, MarR family"	435	144	5	"F:DNA binding; C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:regulation of transcription, DNA-templated; P:regulation of transcription, DNA-templated"	""	"family transcriptional regulator"	40169
"Ccel_0038"	40629	41084	"+"	"ACL74426.1"	"peptide deformylase"	456	151	5	"F:iron ion binding; P:N-terminal protein amino acid modification; P:co-translational protein modification; F:peptide deformylase activity; P:translation"	"EC:3.5.1.88"	"peptide deformylase"	40629
