start	end	strand	product_accession	Product	Locus	feature_interval_length	product_length
530153	532525	+	ACL74844.1	(NiFe) hydrogenase maturation protein HypF	Ccel_0462	2373	790
2308487	2310667	-	ACL76299.1	"(p)ppGpp synthetase I, SpoT/RelA"	Ccel_1951	2181	726
2578293	2579039	-	ACL76547.1	1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate (AIR) carboxylase	Ccel_2205	747	248
60279	62507	-	ACL74441.1	"1,4-alpha-glucan branching enzyme"	Ccel_0053	2229	742
822722	823231	+	ACL75091.1	16S rRNA processing protein RimM	Ccel_0712	510	169
512654	513799	+	ACL74831.1	1-deoxy-D-xylulose 5-phosphate reductoisomerase	Ccel_0449	1146	381
515132	516193	+	ACL74833.1	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	Ccel_0451	1062	353
3007194	3007853	-	ACL76815.1	"2,3-diketo-5-methylthio-1-phosphopentane phosphatase"	Ccel_2487	660	219
2191601	2192692	-	ACL76185.1	20S proteasome A and B subunits	Ccel_1837	1092	363
2288991	2289536	-	ACL76287.1	2'-5' RNA ligase	Ccel_1939	546	181
1631558	1632031	+	ACL75686.1	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	Ccel_1332	474	157
397373	397879	-	ACL74730.1	"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"	Ccel_0344	507	168
394722	395432	+	ACL74728.1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	Ccel_0342	711	236
2015208	2016170	-	ACL76023.1	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase	Ccel_1672	963	320
3722765	3723409	-	ACL77482.1	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase	Ccel_3192	645	214
3997446	3998972	-	ACL77722.1	2-isopropylmalate synthase	Ccel_3434	1527	508
3995749	3997311	-	ACL77721.1	2-isopropylmalate synthase/homocitrate synthase family protein	Ccel_3433	1563	520
2051987	2054098	-	ACL76058.1	3' exoribonuclease	Ccel_1707	2112	703
2366423	2367685	-	ACL76351.1	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	Ccel_2004	1263	420
192562	193632	+	ACL74558.1	3D domain protein	Ccel_0170	1071	356
596854	597645	+	ACL74900.1	3D domain protein	Ccel_0518	792	263
2274556	2274984	-	ACL76272.1	"3-dehydroquinate dehydratase, type II"	Ccel_1924	429	142
2204858	2205937	-	ACL76202.1	3-dehydroquinate synthase	Ccel_1854	1080	359
2797815	2798978	-	ACL76707.1	3-dehydroquinate synthase	Ccel_2374	1164	387
3006098	3007159	-	ACL76814.1	3-dehydroquinate synthase	Ccel_2486	1062	353
2327309	2327716	-	ACL76314.1	3-demethylubiquinone-9 3-methyltransferase	Ccel_1966	408	135
1215028	1215873	+	ACL75348.1	3-hydroxyacyl-CoA dehydrogenase NAD-binding	Ccel_0986	846	281
